//==============================================================
// Assault Cuirass
//==============================================================
<<<<<<< HEAD
"DOTA_Tooltip_Ability_item_assault_2"                                   "Assault Cuirass"
"DOTA_Tooltip_Ability_item_recipe_assault_2"                            "Assault Cuirass Recipe"
"DOTA_Tooltip_Ability_item_assault_2_Description"                       "Passive: Assault Aura - Grants attack speed and armor to nearby allied units and structures, and decreases the armor of nearby enemies.\n\nMultiple instances of Assault Aura do not stack."
"DOTA_Tooltip_Ability_item_assault_2_Lore"                              "Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
"DOTA_Tooltip_Ability_item_assault_2_bonus_attack_speed"                "+$attack"
"DOTA_Tooltip_Ability_item_assault_2_bonus_armor"                       "+$armor"
"DOTA_Tooltip_Ability_item_assault_2_aura_attack_speed"                 "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_assault_2_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_assault_2_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_3"                                   "Assault Cuirass"
"DOTA_Tooltip_Ability_item_recipe_assault_3"                            "Assault Cuirass Recipe"
"DOTA_Tooltip_Ability_item_assault_3_Description"                       "Passive: Assault Aura - Grants attack speed and armor to nearby allied units and structures, and decreases the armor of nearby enemies.\n\nMultiple instances of Assault Aura do not stack."
"DOTA_Tooltip_Ability_item_assault_3_Lore"                              "Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
"DOTA_Tooltip_Ability_item_assault_3_bonus_attack_speed"                "+$attack"
"DOTA_Tooltip_Ability_item_assault_3_bonus_armor"                       "+$armor"
"DOTA_Tooltip_Ability_item_assault_3_aura_attack_speed"                 "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_assault_3_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_assault_3_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_4"                                   "Assault Cuirass"
"DOTA_Tooltip_Ability_item_recipe_assault_4"                            "Assault Cuirass Recipe"
"DOTA_Tooltip_Ability_item_assault_4_Description"                       "Passive: Assault Aura - Grants attack speed and armor to nearby allied units and structures, and decreases the armor of nearby enemies.\n\nMultiple instances of Assault Aura do not stack."
"DOTA_Tooltip_Ability_item_assault_4_Lore"                              "Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
"DOTA_Tooltip_Ability_item_assault_4_bonus_attack_speed"                "+$attack"
"DOTA_Tooltip_Ability_item_assault_4_bonus_armor"                       "+$armor"
"DOTA_Tooltip_Ability_item_assault_4_aura_attack_speed"                 "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_assault_4_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_assault_4_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_5"                                   "Assault Cuirass"
"DOTA_Tooltip_Ability_item_recipe_assault_5"                            "Assault Cuirass Recipe"
"DOTA_Tooltip_Ability_item_assault_5_Description"                       "Passive: Assault Aura - Grants attack speed and armor to nearby allied units and structures, and decreases the armor of nearby enemies.\n\nMultiple instances of Assault Aura do not stack."
"DOTA_Tooltip_Ability_item_assault_5_Lore"                              "Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
"DOTA_Tooltip_Ability_item_assault_5_bonus_attack_speed"                "+$attack"
"DOTA_Tooltip_Ability_item_assault_5_bonus_armor"                       "+$armor"
"DOTA_Tooltip_Ability_item_assault_5_aura_attack_speed"                 "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_assault_5_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_assault_5_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"
=======
"DOTA_Tooltip_Ability_item_assault_Description"                         "<h1>Passive: Assault Aura</h1> Grants %aura_attack_speed% attack speed and %aura_positive_armor% armor to nearby allied units, and decreases nearby enemy unit armor by %aura_negative_armor%.<br><br>Radius: %aura_radius%"

"DOTA_Tooltip_Ability_item_assault_2"                                   "#{DOTA_Tooltip_Ability_item_assault}"
"DOTA_Tooltip_Ability_item_recipe_assault_2"                            "#{DOTA_Tooltip_Ability_item_recipe_assault}"
"DOTA_Tooltip_Ability_item_assault_2_Description"                       "#{DOTA_Tooltip_Ability_item_assault_Description}"
"DOTA_Tooltip_Ability_item_assault_2_Lore"                              "#{DOTA_Tooltip_ability_item_assault_Lore}"
"DOTA_Tooltip_ability_item_assault_2_Note0"                             "#{DOTA_Tooltip_ability_item_assault_Note0}"
"DOTA_Tooltip_Ability_item_assault_2_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_assault_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_assault_2_bonus_armor"                       "#{DOTA_Tooltip_ability_item_assault_bonus_armor}"
//"DOTA_Tooltip_Ability_item_assault_2_aura_attack_speed"                 "AURA ATTACK SPEED:"
//"DOTA_Tooltip_Ability_item_assault_2_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
//"DOTA_Tooltip_Ability_item_assault_2_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_3"                                   "#{DOTA_Tooltip_Ability_item_assault}"
"DOTA_Tooltip_Ability_item_recipe_assault_3"                            "#{DOTA_Tooltip_Ability_item_recipe_assault}"
"DOTA_Tooltip_Ability_item_assault_3_Description"                       "#{DOTA_Tooltip_Ability_item_assault_Description}"
"DOTA_Tooltip_Ability_item_assault_3_Lore"                              "#{DOTA_Tooltip_ability_item_assault_Lore}"
"DOTA_Tooltip_ability_item_assault_3_Note0"                             "#{DOTA_Tooltip_ability_item_assault_Note0}"
"DOTA_Tooltip_Ability_item_assault_3_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_assault_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_assault_3_bonus_armor"                       "#{DOTA_Tooltip_ability_item_assault_bonus_armor}"
//"DOTA_Tooltip_Ability_item_assault_3_aura_attack_speed"                 "AURA ATTACK SPEED:"
//"DOTA_Tooltip_Ability_item_assault_3_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
//"DOTA_Tooltip_Ability_item_assault_3_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_4"                                   "#{DOTA_Tooltip_Ability_item_assault}"
"DOTA_Tooltip_Ability_item_recipe_assault_4"                            "#{DOTA_Tooltip_Ability_item_recipe_assault}"
"DOTA_Tooltip_Ability_item_assault_4_Description"                       "#{DOTA_Tooltip_Ability_item_assault_Description}"
"DOTA_Tooltip_Ability_item_assault_4_Lore"                              "#{DOTA_Tooltip_ability_item_assault_Lore}"
"DOTA_Tooltip_ability_item_assault_4_Note0"                             "#{DOTA_Tooltip_ability_item_assault_Note0}"
"DOTA_Tooltip_Ability_item_assault_4_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_assault_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_assault_4_bonus_armor"                       "#{DOTA_Tooltip_ability_item_assault_bonus_armor}"
//"DOTA_Tooltip_Ability_item_assault_4_aura_attack_speed"                 "AURA ATTACK SPEED:"
//"DOTA_Tooltip_Ability_item_assault_4_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
//"DOTA_Tooltip_Ability_item_assault_4_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"

"DOTA_Tooltip_Ability_item_assault_5"                                   "#{DOTA_Tooltip_Ability_item_assault}"
"DOTA_Tooltip_Ability_item_recipe_assault_5"                            "#{DOTA_Tooltip_Ability_item_recipe_assault}"
"DOTA_Tooltip_Ability_item_assault_5_Description"                       "#{DOTA_Tooltip_Ability_item_assault_Description}"
"DOTA_Tooltip_Ability_item_assault_5_Lore"                              "#{DOTA_Tooltip_ability_item_assault_Lore}"
"DOTA_Tooltip_ability_item_assault_5_Note0"                             "#{DOTA_Tooltip_ability_item_assault_Note0}"
"DOTA_Tooltip_Ability_item_assault_5_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_assault_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_assault_5_bonus_armor"                       "#{DOTA_Tooltip_ability_item_assault_bonus_armor}"
//"DOTA_Tooltip_Ability_item_assault_5_aura_attack_speed"                 "AURA ATTACK SPEED:"
//"DOTA_Tooltip_Ability_item_assault_5_aura_positive_armor"               "AURA ALLY BONUS ARMOR:"
//"DOTA_Tooltip_Ability_item_assault_5_aura_negative_armor"               "AURA ENEMY ARMOR REDUCTION:"
>>>>>>> OpenAngelArena/master
